"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"BB[167,1]",1.78994159551968,0.719886509624268,0.486200698961816,1.28183096610452,1.75657650962792,2.251009334468,3.32870774535602,1.00121945803888,7900
"BB[168,1]",-0.553057138181607,1.48014034796802,-3.5300587440927,-1.52612845236825,-0.526135015798404,0.463301120244033,2.24915219459558,1.00161775146332,3100
"BB[169,1]",-1.11294724001874,1.49354837001204,-4.19149164566231,-2.08512748496844,-1.05760047278288,-0.0990984063895548,1.6873916790598,1.00122733900931,7600
"BB[170,1]",1.4507884384683,0.591354574242412,0.375652185332506,1.03703026069764,1.41674405061218,1.82520813560058,2.6955141434186,1.0012955228182,6100
"BB[171,1]",-0.986084476089145,0.98734999818375,-3.04942706914977,-1.61311243851549,-0.946554309328634,-0.311867496192155,0.848472921121489,1.00102515359397,33000
"BB[172,1]",-1.83307494663051,1.4921053854444,-4.87461247766207,-2.79671809274282,-1.76724254297521,-0.823474306629228,0.939847459823932,1.00116815819846,9900
"BB[173,1]",1.84893899165792,0.691420495292349,0.599358197025905,1.36948685417109,1.81545589484224,2.27488725851662,3.32093103674909,1.00185174979063,2300
"BB[174,1]",-1.17650230088329,1.2087520008834,-3.73159125643231,-1.92432993196841,-1.11905713991108,-0.356261056942336,1.07465390795312,1.0011447318683,11000
"BB[175,1]",-0.271100702948666,0.695219855636263,-1.68236182329263,-0.733008060297424,-0.260543166978455,0.190229940946407,1.06517137529374,1.00111501524616,13000
"BB[176,1]",-5.66037750916593,1.75732591211463,-9.14508555107966,-6.83914033240435,-5.62123625015223,-4.45982533914998,-2.2973885945373,1.00124985722378,7000
"BB[177,1]",-3.06082755859568,1.57495074893491,-6.29371132377419,-4.08646624282356,-2.99288028691576,-1.97672445067169,-0.154866658455373,1.00115557396884,11000
"BB[178,1]",2.36815282489022,0.806021006703833,0.909768007803612,1.80363452078043,2.32453679975889,2.88001169439158,4.06574819224372,1.0012981103789,6000
"BB[179,1]",-0.85989119232528,1.55048315639356,-4.01661122987195,-1.86515472594663,-0.820804813254697,0.183425089149945,2.10044492952578,1.00143900964444,4200
"BB[180,1]",-0.616499318323287,0.86030881242888,-2.3379437712604,-1.17836353372712,-0.607461539149425,-0.0357258970820016,1.04923143500505,1.00097305572816,45000
"BB[181,1]",-2.4502328736209,1.0392976912874,-4.69975353338626,-3.08792077932306,-2.38382422364163,-1.72152484465327,-0.619581688796521,1.00165472817801,2900
"BB[182,1]",-1.42439736014578,0.713532566673147,-2.938137971359,-1.87559934763771,-1.38326800192651,-0.936119344710647,-0.124156611909725,1.00099654384481,45000
"BB[183,1]",-1.85256132728043,1.47080726647347,-4.94662806839458,-2.7955564740294,-1.8046151798056,-0.852085254942614,0.927925667404768,1.00123206112529,7500
"BB[184,1]",-1.95201388891926,1.08381230397233,-4.28176962102956,-2.63267058486793,-1.88317236128827,-1.18908069252643,-0.0412059898729087,1.00110418453062,14000
"BB[185,1]",0.470707750024773,0.609389611137854,-0.699252820944998,0.0524197107485807,0.457780971812684,0.870800710239355,1.70821404860738,1.0009818814989,45000
"BB[186,1]",-1.97379761521196,1.34883290269749,-4.79798801974846,-2.83740014460287,-1.91586545854011,-1.04076898105758,0.496412326316319,1.00106200122198,21000
"BB[187,1]",-3.50115164979329,1.64485959687767,-6.87108334782367,-4.58251397762556,-3.45152690279047,-2.36625647709222,-0.440564300121185,1.00109020573611,16000
"BB[188,1]",-3.75357152340856,1.47647045455291,-6.87244442326762,-4.72035190394078,-3.65362296317817,-2.70923267883623,-1.11232943786615,1.00176472990389,2500
"BB[189,1]",-2.37990704717513,1.07460522821886,-4.65673076648825,-3.06173224810176,-2.29840094719648,-1.63480463351524,-0.477614290100584,1.00102629028064,33000
"BB[190,1]",-1.9694614609285,1.37190012426841,-4.91017472912763,-2.83477090292196,-1.8801027419172,-1.01825106326725,0.500950051329865,1.0010234445598,34000
"BB[191,1]",-4.31577915127451,1.68673376371393,-7.7815110756414,-5.43823064760146,-4.25930473904684,-3.13569892883415,-1.1859448855465,1.00119921013386,8600
"BB[192,1]",-2.19060669153813,1.59219707594443,-5.49417280437824,-3.22073345093651,-2.13482043024877,-1.09841784635552,0.775509451188095,1.00121191608361,8100
